type,A,B,name,label::English,label::Français,label::Swahili,French_lab,Swahililab,calculation,appearance,hint::English,hint::Français,hint::Swahili,relevant,default,constraint,constraint_message::Français,constraint_message::Swahili,required,repeat_count
text,13,A.15.13,occup_aut_15,Specify,A.15.13 Specifiez,A.15.13 Pana mwangaza,Specifiez,Pana mwangaza,,,,,,${occup_15}='96',,,,,yes,
select_one share5_list,14,A.15.14,timeagr_15,Time spent on agricultural work,A.15.14 Combien de temps dispense ce membre pour travail agricol?,A.15.14 ${mem_nm_15} amefanya muda gani kwa kulima?,Combien de temps dispense ce membre pour travail agricol?,${mem_nm_15} amefanya muda gani kwa kulima?,,,,"Incluyez seulement le temps travaillé sur les champs du ménage, pas le travail salaire","Incluyez seulement le temps travaillé sur les champs du ménage, pas le travail salaire",${age_15}>12,,,,,yes,
end group,,,,,,,,,,,,,,,,,,,,
begin group,16,,mem16,${mem_nm_16},${mem_nm_16},${mem_nm_16},,${mem_nm_16},,,,,,${size} >=16,,,,,,
note,,,note_member_name_16,Please answer the following questions for ${mem_nm_16},Répondez les questions suivants pour ${mem_nm_16},Tafazali jibu kwa maulizo yafuatayo kwa ${mem_nm_16},Répondez les questions suivants pour ${mem_nm_16},Tafazali jibu kwa maulizo yafuatayo kwa ${mem_nm_16},,,,,,,,,,,,
integer,1,A.16.1,age_16,C.16.1 Enter the age of this member,A.16.1 Quel est l'age de ${mem_nm_16},A.16.1 ${mem_nm_16} iko na miaka ngapi? ,Quel est l'age de ${mem_nm_16},${mem_nm_16} iko na miaka ngapi? ,,,,,,,,,,,yes,
select_one exact_list,2,A.16.2,age_exact_16,C.1.2 Is the age of the household member exact of approximate?,A.16.2 Est-ce que l'age est exacte ou approximatif?,A.16.2 Je! miaka ya ${mem_nm_16} ni kamili au inataka henea?,Est-ce que l'age est exacte ou approximatif?,Je! miaka ya ${mem_nm_16} ni kamili au inataka henea?,,,,,,,,,,,yes,
select_one yes_no,3,A.16.3,literacy_16,C.1.3 Is the household member literate?,A.16.3 Est-ce que${mem_nm_16} est alphabétisé?,A.16.3 Je! ${mem_nm_16} ni musomi?,Est-ce que${mem_nm_16} est alphabétisé?,Je! ${mem_nm_16} ni musomi?,,,,,,${age_16}>4,,,,,yes,
select_one gender_list,4,A.16.4,gender_16,C.1.4 Enter the gender of this member,A.16.4 Quel est le genre de ${mem_nm_16}?,A.16.4 Je! ${mem_nm_16} ni mwanamuke ao mwanaume?,Quel est le genre de ${mem_nm_16}?,Je! ${mem_nm_16} ni mwanamuke ao mwanaume?,,,"Often, this does not need to be asked, as it's visible","Souvent, on doit pas demander car c'est visible","Souvent, on doit pas demander car c'est visible",,,,,,yes,
select_one relation_cdm,5,A.16.5,relhead_16,C.1.5 Relationship with Household head,A.16.5 Quelle est la relation avec le chef du ménage?,A.16.5 ${mem_nm_16} ana undugu gani na mkubwa wa nyumba?,Quelle est la relation avec le chef du ménage?,${mem_nm_16} ana undugu gani na mkubwa wa nyumba?,,,,,,,,,,,yes,
select_one housingstatus_list,6,A.16.6,resstat_16,What is the residence status within the household?,A.16.6 Quelle est le statut de residence au ménage de ${mem_nm_16}?,A.16.6 Je! ${mem_nm_16} anabaki hapa kwa muda (miaka) yote?,Quelle est le statut de residence au ménage de ${mem_nm_16}?,Je! ${mem_nm_16} anabaki hapa kwa muda (miaka) yote?,,,,,,,,,,,yes,
select_one schooling_list,7,A.16.7,school_16,What is the level of education?,A.16.7 Quel est le niveau d'education de ${mem_nm_16}?,A.16.7 ${mem_nm_16} ameishia somo la ngapi?,Quel est le niveau d'education de ${mem_nm_16}?,${mem_nm_16} ameishia somo la ngapi?,,,Notez le niveau le plus élevé.,Notez le niveau le plus élevé.,Notez le niveau le plus élevé.,,,,,,yes,
select_one religion_list,8,A.16.8,reli_16,What is the religion,A.16.8 Quelle est la religion de ${mem_nm_16}?,A.16.8 Dini ya ${mem_nm_16} ni gani?,Quelle est la religion de ${mem_nm_16}?,Dini ya ${mem_nm_16} ni gani?,,,,,,,,,,,yes,
text,9,A.16.9,reli_aut_16,Other religion,A.16.9 Autre religion,A.16.9 Dini ingine?,Autre religion,Dini ingine?,,,,,,${reli_16}='96',,,,,yes,
select_one tribe_list,10,A.16.10,etn_16,What is the mother language?,A.16.10 Quelle est le langue maternel de ${mem_nm_16}?,A.16.10 Luga ya ${mem_nm_16} ya asili ni gani?,Quelle est le langue maternel de ${mem_nm_16}?,Luga ya ${mem_nm_16} ya asili ni gani?,,,,,,,,,,,yes,
text,11,A.16.11,etn_aut_16,Other religion,A.16.11 Autre langue,A.16.11 Luga ingine?,Autre langue,Luga ingine?,,,,,,${etn_16}='96',,,,,yes,
select_one occupation_list,12,A.16.12,occup_16,What is the primary occupation,A.16.12 Quelle est la occupation primaire de ${mem_nm_16}?,A.16.12 Kazi ya kawaida ya ${mem_nm_16}?,Quelle est la occupation primaire de ${mem_nm_16}?,Kazi ya kawaida ya ${mem_nm_16}?,,,,,,${age_16}>12,,,,,yes,
text,13,A.16.13,occup_aut_16,Specify,A.16.13 Specifiez,A.16.13 Pana mwangaza,Specifiez,Pana mwangaza,,,,,,${occup_16}='96',,,,,yes,
select_one share5_list,14,A.16.14,timeagr_16,Time spent on agricultural work,A.16.14 Combien de temps dispense ce membre pour travail agricol?,A.16.14 ${mem_nm_16} amefanya muda gani kwa kulima?,Combien de temps dispense ce membre pour travail agricol?,${mem_nm_16} amefanya muda gani kwa kulima?,,,,"Incluyez seulement le temps travaillé sur les champs du ménage, pas le travail salaire","Incluyez seulement le temps travaillé sur les champs du ménage, pas le travail salaire",${age_16}>12,,,,,yes,
end group,,,,,,,,,,,,,,,,,,,,
begin group,17,,mem17,${mem_nm_17},${mem_nm_17},${mem_nm_17},,${mem_nm_17},,,,,,${size} >=17,,,,,,
note,,,note_member_name_17,Please answer the following questions for ${mem_nm_17},Répondez les questions suivants pour ${mem_nm_17},Tafazali jibu kwa maulizo yafuatayo kwa ${mem_nm_17},Répondez les questions suivants pour ${mem_nm_17},Tafazali jibu kwa maulizo yafuatayo kwa ${mem_nm_17},,,,,,,,,,,,
integer,1,A.17.1,age_17,C.17.1 Enter the age of this member,A.17.1 Quel est l'age de ${mem_nm_17},A.17.1 ${mem_nm_17} iko na miaka ngapi? ,Quel est l'age de ${mem_nm_17},${mem_nm_17} iko na miaka ngapi? ,,,,,,,,,,,yes,
select_one exact_list,2,A.17.2,age_exact_17,C.1.2 Is the age of the household member exact of approximate?,A.17.2 Est-ce que l'age est exacte ou approximatif?,A.17.2 Je! miaka ya ${mem_nm_17} ni kamili au inataka henea?,Est-ce que l'age est exacte ou approximatif?,Je! miaka ya ${mem_nm_17} ni kamili au inataka henea?,,,,,,,,,,,yes,
select_one yes_no,3,A.17.3,literacy_17,C.1.3 Is the household member literate?,A.17.3 Est-ce que${mem_nm_17} est alphabétisé?,A.17.3 Je! ${mem_nm_17} ni musomi?,Est-ce que${mem_nm_17} est alphabétisé?,Je! ${mem_nm_17} ni musomi?,,,,,,${age_17}>4,,,,,yes,
select_one gender_list,4,A.17.4,gender_17,C.1.4 Enter the gender of this member,A.17.4 Quel est le genre de ${mem_nm_17}?,A.17.4 Je! ${mem_nm_17} ni mwanamuke ao mwanaume?,Quel est le genre de ${mem_nm_17}?,Je! ${mem_nm_17} ni mwanamuke ao mwanaume?,,,"Often, this does not need to be asked, as it's visible","Souvent, on doit pas demander car c'est visible","Souvent, on doit pas demander car c'est visible",,,,,,yes,
select_one relation_cdm,5,A.17.5,relhead_17,C.1.5 Relationship with Household head,A.17.5 Quelle est la relation avec le chef du ménage?,A.17.5 ${mem_nm_17} ana undugu gani na mkubwa wa nyumba?,Quelle est la relation avec le chef du ménage?,${mem_nm_17} ana undugu gani na mkubwa wa nyumba?,,,,,,,,,,,yes,
select_one housingstatus_list,6,A.17.6,resstat_17,What is the residence status within the household?,A.17.6 Quelle est le statut de residence au ménage de ${mem_nm_17}?,A.17.6 Je! ${mem_nm_17} anabaki hapa kwa muda (miaka) yote?,Quelle est le statut de residence au ménage de ${mem_nm_17}?,Je! ${mem_nm_17} anabaki hapa kwa muda (miaka) yote?,,,,,,,,,,,yes,
select_one schooling_list,7,A.17.7,school_17,What is the level of education?,A.17.7 Quel est le niveau d'education de ${mem_nm_17}?,A.17.7 ${mem_nm_17} ameishia somo la ngapi?,Quel est le niveau d'education de ${mem_nm_17}?,${mem_nm_17} ameishia somo la ngapi?,,,Notez le niveau le plus élevé.,Notez le niveau le plus élevé.,Notez le niveau le plus élevé.,,,,,,yes,
select_one religion_list,8,A.17.8,reli_17,What is the religion,A.17.8 Quelle est la religion de ${mem_nm_17}?,A.17.8 Dini ya ${mem_nm_17} ni gani?,Quelle est la religion de ${mem_nm_17}?,Dini ya ${mem_nm_17} ni gani?,,,,,,,,,,,yes,
text,9,A.17.9,reli_aut_17,Other religion,A.17.9 Autre religion,A.17.9 Dini ingine?,Autre religion,Dini ingine?,,,,,,${reli_17}='96',,,,,yes,
select_one tribe_list,10,A.17.10,etn_17,What is the mother language?,A.17.10 Quelle est le langue maternel de ${mem_nm_17}?,A.17.10 Luga ya ${mem_nm_17} ya asili ni gani?,Quelle est le langue maternel de ${mem_nm_17}?,Luga ya ${mem_nm_17} ya asili ni gani?,,,,,,,,,,,yes,
text,11,A.17.11,etn_aut_17,Other religion,A.17.11 Autre langue,A.17.11 Luga ingine?,Autre langue,Luga ingine?,,,,,,${etn_17}='96',,,,,yes,
select_one occupation_list,12,A.17.12,occup_17,What is the primary occupation,A.17.12 Quelle est la occupation primaire de ${mem_nm_17}?,A.17.12 Kazi ya kawaida ya ${mem_nm_17}?,Quelle est la occupation primaire de ${mem_nm_17}?,Kazi ya kawaida ya ${mem_nm_17}?,,,,,,${age_17}>12,,,,,yes,
text,13,A.17.13,occup_aut_17,Specify,A.17.13 Specifiez,A.17.13 Pana mwangaza,Specifiez,Pana mwangaza,,,,,,${occup_17}='96',,,,,yes,
select_one share5_list,14,A.17.14,timeagr_17,Time spent on agricultural work,A.17.14 Combien de temps dispense ce membre pour travail agricol?,A.17.14 ${mem_nm_17} amefanya muda gani kwa kulima?,Combien de temps dispense ce membre pour travail agricol?,${mem_nm_17} amefanya muda gani kwa kulima?,,,,"Incluyez seulement le temps travaillé sur les champs du ménage, pas le travail salaire","Incluyez seulement le temps travaillé sur les champs du ménage, pas le travail salaire",${age_17}>12,,,,,yes,
end group,,,,,,,,,,,,,,,,,,,,
begin group,18,,mem18,${mem_nm_18},${mem_nm_18},${mem_nm_18},,${mem_nm_18},,,,,,${size} >=18,,,,,,
note,,,note_member_name_18,Please answer the following questions for ${mem_nm_18},Répondez les questions suivants pour ${mem_nm_18},Tafazali jibu kwa maulizo yafuatayo kwa ${mem_nm_18},Répondez les questions suivants pour ${mem_nm_18},Tafazali jibu kwa maulizo yafuatayo kwa ${mem_nm_18},,,,,,,,,,,,
integer,1,A.18.1,age_18,C.18.1 Enter the age of this member,A.18.1 Quel est l'age de ${mem_nm_18},A.18.1 ${mem_nm_18} iko na miaka ngapi? ,Quel est l'age de ${mem_nm_18},${mem_nm_18} iko na miaka ngapi? ,,,,,,,,,,,yes,
select_one exact_list,2,A.18.2,age_exact_18,C.1.2 Is the age of the household member exact of approximate?,A.18.2 Est-ce que l'age est exacte ou approximatif?,A.18.2 Je! miaka ya ${mem_nm_18} ni kamili au inataka henea?,Est-ce que l'age est exacte ou approximatif?,Je! miaka ya ${mem_nm_18} ni kamili au inataka henea?,,,,,,,,,,,yes,
select_one yes_no,3,A.18.3,literacy_18,C.1.3 Is the household member literate?,A.18.3 Est-ce que${mem_nm_18} est alphabétisé?,A.18.3 Je! ${mem_nm_18} ni musomi?,Est-ce que${mem_nm_18} est alphabétisé?,Je! ${mem_nm_18} ni musomi?,,,,,,${age_18}>4,,,,,yes,
select_one gender_list,4,A.18.4,gender_18,C.1.4 Enter the gender of this member,A.18.4 Quel est le genre de ${mem_nm_18}?,A.18.4 Je! ${mem_nm_18} ni mwanamuke ao mwanaume?,Quel est le genre de ${mem_nm_18}?,Je! ${mem_nm_18} ni mwanamuke ao mwanaume?,,,"Often, this does not need to be asked, as it's visible","Souvent, on doit pas demander car c'est visible","Souvent, on doit pas demander car c'est visible",,,,,,yes,
select_one relation_cdm,5,A.18.5,relhead_18,C.1.5 Relationship with Household head,A.18.5 Quelle est la relation avec le chef du ménage?,A.18.5 ${mem_nm_18} ana undugu gani na mkubwa wa nyumba?,Quelle est la relation avec le chef du ménage?,${mem_nm_18} ana undugu gani na mkubwa wa nyumba?,,,,,,,,,,,yes,
select_one housingstatus_list,6,A.18.6,resstat_18,What is the residence status within the household?,A.18.6 Quelle est le statut de residence au ménage de ${mem_nm_18}?,A.18.6 Je! ${mem_nm_18} anabaki hapa kwa muda (miaka) yote?,Quelle est le statut de residence au ménage de ${mem_nm_18}?,Je! ${mem_nm_18} anabaki hapa kwa muda (miaka) yote?,,,,,,,,,,,yes,
select_one schooling_list,7,A.18.7,school_18,What is the level of education?,A.18.7 Quel est le niveau d'education de ${mem_nm_18}?,A.18.7 ${mem_nm_18} ameishia somo la ngapi?,Quel est le niveau d'education de ${mem_nm_18}?,${mem_nm_18} ameishia somo la ngapi?,,,Notez le niveau le plus élevé.,Notez le niveau le plus élevé.,Notez le niveau le plus élevé.,,,,,,yes,
select_one religion_list,8,A.18.8,reli_18,What is the religion,A.18.8 Quelle est la religion de ${mem_nm_18}?,A.18.8 Dini ya ${mem_nm_18} ni gani?,Quelle est la religion de ${mem_nm_18}?,Dini ya ${mem_nm_18} ni gani?,,,,,,,,,,,yes,
text,9,A.18.9,reli_aut_18,Other religion,A.18.9 Autre religion,A.18.9 Dini ingine?,Autre religion,Dini ingine?,,,,,,${reli_18}='96',,,,,yes,
select_one tribe_list,10,A.18.10,etn_18,What is the mother language?,A.18.10 Quelle est le langue maternel de ${mem_nm_18}?,A.18.10 Luga ya ${mem_nm_18} ya asili ni gani?,Quelle est le langue maternel de ${mem_nm_18}?,Luga ya ${mem_nm_18} ya asili ni gani?,,,,,,,,,,,yes,
text,11,A.18.11,etn_aut_18,Other religion,A.18.11 Autre langue,A.18.11 Luga ingine?,Autre langue,Luga ingine?,,,,,,${etn_18}='96',,,,,yes,
select_one occupation_list,12,A.18.12,occup_18,What is the primary occupation,A.18.12 Quelle est la occupation primaire de ${mem_nm_18}?,A.18.12 Kazi ya kawaida ya ${mem_nm_18}?,Quelle est la occupation primaire de ${mem_nm_18}?,Kazi ya kawaida ya ${mem_nm_18}?,,,,,,${age_18}>12,,,,,yes,
text,13,A.18.13,occup_aut_18,Specify,A.18.13 Specifiez,A.18.13 Pana mwangaza,Specifiez,Pana mwangaza,,,,,,${occup_18}='96',,,,,yes,
select_one share5_list,14,A.18.14,timeagr_18,Time spent on agricultural work,A.18.14 Combien de temps dispense ce membre pour travail agricol?,A.18.14 ${mem_nm_18} amefanya muda gani kwa kulima?,Combien de temps dispense ce membre pour travail agricol?,${mem_nm_18} amefanya muda gani kwa kulima?,,,,"Incluyez seulement le temps travaillé sur les champs du ménage, pas le travail salaire","Incluyez seulement le temps travaillé sur les champs du ménage, pas le travail salaire",${age_18}>12,,,,,yes,
end group,,,,,,,,,,,,,,,,,,,,
begin group,19,,mem19,${mem_nm_19},${mem_nm_19},${mem_nm_19},,${mem_nm_19},,,,,,${size} >=19,,,,,,
note,,,note_member_name_19,Please answer the following questions for ${mem_nm_19},Répondez les questions suivants pour ${mem_nm_19},Tafazali jibu kwa maulizo yafuatayo kwa ${mem_nm_19},Répondez les questions suivants pour ${mem_nm_19},Tafazali jibu kwa maulizo yafuatayo kwa ${mem_nm_19},,,,,,,,,,,,
integer,1,A.19.1,age_19,C.19.1 Enter the age of this member,A.19.1 Quel est l'age de ${mem_nm_19},A.19.1 ${mem_nm_19} iko na miaka ngapi? ,Quel est l'age de ${mem_nm_19},${mem_nm_19} iko na miaka ngapi? ,,,,,,,,,,,yes,
select_one exact_list,2,A.19.2,age_exact_19,C.1.2 Is the age of the household member exact of approximate?,A.19.2 Est-ce que l'age est exacte ou approximatif?,A.19.2 Je! miaka ya ${mem_nm_19} ni kamili au inataka henea?,Est-ce que l'age est exacte ou approximatif?,Je! miaka ya ${mem_nm_19} ni kamili au inataka henea?,,,,,,,,,,,yes,
select_one yes_no,3,A.19.3,literacy_19,C.1.3 Is the household member literate?,A.19.3 Est-ce que${mem_nm_19} est alphabétisé?,A.19.3 Je! ${mem_nm_19} ni musomi?,Est-ce que${mem_nm_19} est alphabétisé?,Je! ${mem_nm_19} ni musomi?,,,,,,${age_19}>4,,,,,yes,
select_one gender_list,4,A.19.4,gender_19,C.1.4 Enter the gender of this member,A.19.4 Quel est le genre de ${mem_nm_19}?,A.19.4 Je! ${mem_nm_19} ni mwanamuke ao mwanaume?,Quel est le genre de ${mem_nm_19}?,Je! ${mem_nm_19} ni mwanamuke ao mwanaume?,,,"Often, this does not need to be asked, as it's visible","Souvent, on doit pas demander car c'est visible","Souvent, on doit pas demander car c'est visible",,,,,,yes,
select_one relation_cdm,5,A.19.5,relhead_19,C.1.5 Relationship with Household head,A.19.5 Quelle est la relation avec le chef du ménage?,A.19.5 ${mem_nm_19} ana undugu gani na mkubwa wa nyumba?,Quelle est la relation avec le chef du ménage?,${mem_nm_19} ana undugu gani na mkubwa wa nyumba?,,,,,,,,,,,yes,
select_one housingstatus_list,6,A.19.6,resstat_19,What is the residence status within the household?,A.19.6 Quelle est le statut de residence au ménage de ${mem_nm_19}?,A.19.6 Je! ${mem_nm_19} anabaki hapa kwa muda (miaka) yote?,Quelle est le statut de residence au ménage de ${mem_nm_19}?,Je! ${mem_nm_19} anabaki hapa kwa muda (miaka) yote?,,,,,,,,,,,yes,
select_one schooling_list,7,A.19.7,school_19,What is the level of education?,A.19.7 Quel est le niveau d'education de ${mem_nm_19}?,A.19.7 ${mem_nm_1} ameishia somo la ngapi?,Quel est le niveau d'education de ${mem_nm_19}?,${mem_nm_1} ameishia somo la ngapi?,,,Notez le niveau le plus élevé.,Notez le niveau le plus élevé.,Notez le niveau le plus élevé.,,,,,,yes,
select_one religion_list,8,A.19.8,reli_19,What is the religion,A.19.8 Quelle est la religion de ${mem_nm_19}?,A.19.8 Dini ya ${mem_nm_19} ni gani?,Quelle est la religion de ${mem_nm_19}?,Dini ya ${mem_nm_19} ni gani?,,,,,,,,,,,yes,
text,9,A.19.9,reli_aut_19,Other religion,A.19.9 Autre religion,A.19.9 Dini ingine?,Autre religion,Dini ingine?,,,,,,${reli_19}='96',,,,,yes,
select_one tribe_list,10,A.19.10,etn_19,What is the mother language?,A.19.10 Quelle est le langue maternel de ${mem_nm_19}?,A.19.10 Luga ya ${mem_nm_19} ya asili ni gani?,Quelle est le langue maternel de ${mem_nm_19}?,Luga ya ${mem_nm_19} ya asili ni gani?,,,,,,,,,,,yes,
text,11,A.19.11,etn_aut_19,Other religion,A.19.11 Autre langue,A.19.11 Luga ingine?,Autre langue,Luga ingine?,,,,,,${etn_19}='96',,,,,yes,
select_one occupation_list,12,A.19.12,occup_19,What is the primary occupation,A.19.12 Quelle est la occupation primaire de ${mem_nm_19}?,A.19.12 Kazi ya kawaida ya ${mem_nm_19}?,Quelle est la occupation primaire de ${mem_nm_19}?,Kazi ya kawaida ya ${mem_nm_19}?,,,,,,${age_19}>12,,,,,yes,
text,13,A.19.13,occup_aut_19,Specify,A.19.13 Specifiez,A.19.13 Pana mwangaza,Specifiez,Pana mwangaza,,,,,,${occup_19}='96',,,,,yes,
select_one share5_list,14,A.19.14,timeagr_19,Time spent on agricultural work,A.19.14 Combien de temps dispense ce membre pour travail agricol?,A.19.14 ${mem_nm_19} amefanya muda gani kwa kulima?,Combien de temps dispense ce membre pour travail agricol?,${mem_nm_19} amefanya muda gani kwa kulima?,,,,"Incluyez seulement le temps travaillé sur les champs du ménage, pas le travail salaire","Incluyez seulement le temps travaillé sur les champs du ménage, pas le travail salaire",${age_19}>12,,,,,yes,
end group,,,,,,,,,,,,,,,,,,,,
begin group,20,,mem20,${mem_nm_20},${mem_nm_20},${mem_nm_20},,${mem_nm_20},,,,,,${size} >=20,,,,,,
note,,,note_member_name_20,Please answer the following questions for ${mem_nm_20},Répondez les questions suivants pour ${mem_nm_20},Tafazali jibu kwa maulizo yafuatayo kwa ${mem_nm_20},Répondez les questions suivants pour ${mem_nm_20},Tafazali jibu kwa maulizo yafuatayo kwa ${mem_nm_20},,,,,,,,,,,,
integer,1,A.20.1,age_20,C.20.1 Enter the age of this member,A.20.1 Quel est l'age de ${mem_nm_20},A.20.1 ${mem_nm_20} iko na miaka ngapi? ,Quel est l'age de ${mem_nm_20},${mem_nm_20} iko na miaka ngapi? ,,,,,,,,,,,yes,
select_one exact_list,2,A.20.2,age_exact_20,C.1.2 Is the age of the household member exact of approximate?,A.20.2 Est-ce que l'age est exacte ou approximatif?,A.20.2 Je! miaka ya ${mem_nm_20} ni kamili au inataka henea?,Est-ce que l'age est exacte ou approximatif?,Je! miaka ya ${mem_nm_20} ni kamili au inataka henea?,,,,,,,,,,,yes,
select_one yes_no,3,A.20.3,literacy_20,C.1.3 Is the household member literate?,A.20.3 Est-ce que${mem_nm_20} est alphabétisé?,A.20.3 Je! ${mem_nm_20} ni musomi?,Est-ce que${mem_nm_20} est alphabétisé?,Je! ${mem_nm_20} ni musomi?,,,,,,${age_20}>4,,,,,yes,
select_one gender_list,4,A.20.4,gender_20,C.1.4 Enter the gender of this member,A.20.4 Quel est le genre de ${mem_nm_20}?,A.20.4 Je! ${mem_nm_20} ni mwanamuke ao mwanaume?,Quel est le genre de ${mem_nm_20}?,Je! ${mem_nm_20} ni mwanamuke ao mwanaume?,,,"Often, this does not need to be asked, as it's visible","Souvent, on doit pas demander car c'est visible","Souvent, on doit pas demander car c'est visible",,,,,,yes,
